"YEAR_MONTH","SFDC_ACCOUNT_ID","SWIMLANE_MAP","AGE_IN_MONTHS","SUBSCRIBED_ROUTER_COUNT","TERM_MAP","CHURNED_ACCOUNT_FLAG","LOGIN_COUNT","TOTAL_MINUTES","Account_NCM_Permissions","Account_Subscription_Change_License","Account_Subscriptions","Dashboard_Clients_Tab","Devices_Remote_Connect_Connect_to_Device_UI","Devices_Subnav_Network_Interfaces","Devices_Interfaces_Interface_Details","Devices_Toggle_Image","Footer_Contact_Cradlepoint_Link","Footer_Knowledge_Base_Link","Groups_Add","Groups_Commands_Menu","Groups_Configuration_Edit","Groups_Dashboard","Groups_Firmware_Menu","Groups_Group_Data_Usage","Groups_Settings","Groups_Refresh_Button","Notifications","Help_Panel_Button","NetCloud_Perimeter","Network_Interfaces_Commands_Menu","Network_Interfaces_Export_Menu","Network_Interfaces_Filter_All","Reports_Report_Type_Data_Usage","Reports_Report_Type_Signal_Quality","Reports_Run_Report_Button","Routers_Commands_Ping","Routers_Commands_Reboot","Routers_Commands_Restore_to_Defaults","Routers_Commands_Speed_Test","Routers_Commands_Unregister","Routers_Commands_Menu","Routers_Configuration_Edit","Routers_Configuration_Resume_Updates","Routers_Configuration_Summary","Routers_Configuration_Menu","Routers_Device_Dashboard_Link","Routers_Firmware_Retry_Upgrade","Routers_Move","Routers_NetCloud_OS_Menu","Routers_Remote_Connect_Console","Routers_Remote_Connect_Menu","Scheduler_Subnav_Schedules","Scheduler_Tasks_Add","Scheduler_Tasks_Edit","Churn_Probability"
2020-09-01,"0015000000RuupLAAR","100000",716,881,"110",0,314,1885,0,0,0,0,115,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,37,0,145,1,265,4,1,0,25,47,0,34,17,7,388,0,0,0,-9.38919081372447e-18
2020-02-01,"0015000000QThwZAAT","100000",692,2111,"000",0,411,2543,1,0,0,5,16,13,0,18,1,0,3,1,59,29,1,0,1,1,5,5,9,1,3,0,1,1,1,1,4,0,47,0,109,71,12,12,218,263,0,7,7,51,92,0,0,0,-8.00466463946048e-18
2020-03-01,"0015000000SlNEMAA3","111100",189,2114,"110",0,920,3956,2,0,0,4,50,7,25,27,0,0,10,0,20,28,1,2,0,0,6,4,5,0,1,0,27,1,1,84,37,0,59,11,223,127,5,8,237,294,0,109,11,3,62,0,0,0,-7.94069671128383e-18
2020-12-01,"0015000000eeEFiAAM","110000",678,3669,"100",0,2518,11800,2,0,0,0,2,71,0,2,0,0,0,0,1,0,0,0,0,0,8,0,9,2,0,0,0,0,0,5,114,0,1122,12,1349,378,777,5,1382,1230,1,55,10,23,47,0,0,0,-8.06754836546464e-18
2021-01-01,"00138000019uTIxAAM","000100",635,3436,"001",0,175,1285,0,0,0,5,0,22,0,3,0,0,0,0,0,5,1,0,0,0,8,0,2,2,3,0,0,0,0,0,2,0,0,1,7,90,13,0,149,43,1,80,9,6,5,0,0,0,-9.83262950227104e-18
2021-03-01,"0015000000xPAoLAAW","001100",116,1270,"110",0,286,1524,0,0,2,12,79,20,0,9,0,0,0,0,0,0,0,0,0,0,2,0,1,63,0,0,0,0,0,0,0,0,0,0,4,1,5,2,51,91,1,19,6,4,83,0,1,0,-9.56374736349463e-18
2020-02-01,"0015000000QVOnOAAX","111100",709,10417,"111",0,4330,26224,14,0,0,19,76,283,36,160,3,0,13,4,16,29,4,6,3,2,76,53,55,50,1,0,3,0,1,98,331,168,424,352,1855,1217,51,112,2503,1706,2,753,142,858,1074,0,0,0,-5.63134608388971e-18
2020-04-01,"0015000000Ux08aAAB","101000",703,3768,"100",0,76,252,1,0,1,2,0,0,0,0,0,0,0,0,4,1,4,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,41,1,2,2,0,0,1,0,0,-8.35160933465584e-18
2020-05-01,"0015000000raMYgAAM","111100",287,2004,"111",0,104,1410,1,0,0,13,28,3,0,11,0,0,7,0,47,24,24,14,0,3,2,0,2,0,0,0,0,0,0,0,2,3,0,2,26,55,6,0,113,61,0,35,6,0,30,2,0,0,-9.12789809015546e-18
2020-11-01,"0015000000kjWrtAAE","111000",654,774,"100",0,39,1011,0,0,6,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,11,27,9,0,48,217,0,18,1,0,0,0,0,0,-9.47375858317834e-18
